model_project_name,pathway_name,process_step,process_reference_output,effective_process_scale_per_t_pp,exchange_or_parameter,role,process_value,process_unit,allocation_factor,contribution_to_pathway,contribution_unit,model_component,model_aggregated_value,calculation_note
Steamcracker Naphtha,Fossil naphtha via conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Carbon dioxide,Direct process emission,0.2,kg,1,0.2,t CO2/t PP,CO2,1.57,Contribution = process value × effective process scale × allocation factor
Steamcracker Naphtha,Fossil naphtha via conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,CAPEX,External input / cost parameter,200,EUR,1,200,EUR/t annual PP capacity,CAPEX,2710.79,Contribution = process value × effective process scale × allocation factor
Steamcracker Naphtha,Fossil naphtha via conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Strom,External input / cost parameter,0.23,kWh,1,0.23,MWh/t PP,Electricity,0.51,Contribution = process value × effective process scale × allocation factor
Steamcracker Naphtha,Fossil naphtha via conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,OPEX,External input / cost parameter,5,EUR,1,5,EUR/t PP,Additional OPEX,67.77,Contribution = process value × effective process scale × allocation factor
Steamcracker Naphtha,Fossil naphtha via conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,Carbon dioxide,Direct process emission,1.026,kg,0.2578947368421053,1.37025,t CO2/t PP,CO2,1.57,Contribution = process value × effective process scale × allocation factor
Steamcracker Naphtha,Fossil naphtha via conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,"Energy, from gas, natural",External input / cost parameter,3.4808,kWh,0.2578947368421053,4.6487,MWh/t PP,Natural Gas,4.65,Contribution = process value × effective process scale × allocation factor
Steamcracker Naphtha,Fossil naphtha via conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,CAPEX,External input / cost parameter,1710,EUR,0.28353328033533276,2510.788459255205,EUR/t annual PP capacity,CAPEX,2710.79,Contribution = process value × effective process scale × allocation factor
Steamcracker Naphtha,Fossil naphtha via conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,Strom,External input / cost parameter,0.2128,kWh,0.2578947368421053,0.2842,MWh/t PP,Electricity,0.51,Contribution = process value × effective process scale × allocation factor
Steamcracker Naphtha,Fossil naphtha via conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,OPEX,External input / cost parameter,42.75,EUR,0.28353328033533276,62.769711481380135,EUR/t PP,Additional OPEX,67.77,Contribution = process value × effective process scale × allocation factor
E-Steamcracker Naphtha,Fossil naphtha via electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Carbon dioxide,Direct process emission,0.2,kg,1,0.2,t CO2/t PP,CO2,0.2,Contribution = process value × effective process scale × allocation factor
E-Steamcracker Naphtha,Fossil naphtha via electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,CAPEX,External input / cost parameter,200,EUR,1,200,EUR/t annual PP capacity,CAPEX,2710.79,Contribution = process value × effective process scale × allocation factor
E-Steamcracker Naphtha,Fossil naphtha via electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Strom,External input / cost parameter,0.23,kWh,1,0.23,MWh/t PP,Electricity,5.16,Contribution = process value × effective process scale × allocation factor
E-Steamcracker Naphtha,Fossil naphtha via electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,OPEX,External input / cost parameter,5,EUR,1,5,EUR/t PP,Additional OPEX,67.77,Contribution = process value × effective process scale × allocation factor
E-Steamcracker Naphtha,Fossil naphtha via electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,Strom,External input / cost parameter,3.6936,kWh,0.2578947368421053,4.932899999999999,MWh/t PP,Electricity,5.16,Contribution = process value × effective process scale × allocation factor
E-Steamcracker Naphtha,Fossil naphtha via electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,CAPEX,External input / cost parameter,1710,EUR,0.2835332803353328,2510.788459255206,EUR/t annual PP capacity,CAPEX,2710.79,Contribution = process value × effective process scale × allocation factor
E-Steamcracker Naphtha,Fossil naphtha via electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,Naphtha,External input / cost parameter,1,kg,0.196,1.015,t/t PP,Naphta,1.015,Contribution = process value × effective process scale × allocation factor
E-Steamcracker Naphtha,Fossil naphtha via electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,OPEX,External input / cost parameter,42.75,EUR,0.2835332803353328,62.76971148138015,EUR/t PP,Additional OPEX,67.77,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Carbon dioxide,Direct process emission,0.2,kg,1,0.2,t CO2/t PP,CO2,2.908,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,CAPEX,External input / cost parameter,200,EUR,1,200,EUR/t annual PP capacity,CAPEX,4011.55,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Strom,External input / cost parameter,0.23,kWh,1,0.23,MWh/t PP,Electricity,1.11095,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,OPEX,External input / cost parameter,5,EUR,1,5,EUR/t PP,Additional OPEX,177.85,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Steam cracking of upgraded pyrolysis oil,Propylene (0.1568 kg),6.473214285714286,Carbon dioxide,Direct process emission,1.026,kg,0.257894737,1.7128125010486608,t CO2/t PP,CO2,2.908,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Steam cracking of upgraded pyrolysis oil,Propylene (0.1568 kg),6.473214285714286,"Energy, from gas, natural",External input / cost parameter,3.4808,kWh,0.257894737,5.810875003557678,MWh/t PP,Natural Gas,5.81,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Steam cracking of upgraded pyrolysis oil,Propylene (0.1568 kg),6.473214285714286,Naphtha,Intermediate input,1,kg,0.1568,1.015,t/t PP,,,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Steam cracking of upgraded pyrolysis oil,Propylene (0.1568 kg),6.473214285714286,Strom,External input / cost parameter,0.2128,kWh,0.257894737,0.3552500002175,MWh/t PP,Electricity,1.11095,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Steam cracking of upgraded pyrolysis oil,Propylene (0.1568 kg),6.473214285714286,CAPEX,External input / cost parameter,1710,EUR,0.28353328033533276,3138.485574069007,EUR/t annual PP capacity,CAPEX,4011.55,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Steam cracking of upgraded pyrolysis oil,Propylene (0.1568 kg),6.473214285714286,OPEX,External input / cost parameter,85.5,EUR,0.28353328033533276,156.92427870345037,EUR/t PP,Additional OPEX,177.85,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Pyrolysis-oil upgrading,"Pyrolyseöl, roh (1.0 kg)",1.080937167199148,Hydrogen,External input / cost parameter,0.01,kg,1,10.80937167199148,kg/t PP,Hydrogen,10.809,Contribution = process value × effective process scale × allocation factor × 1000 unit conversion
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Pyrolysis-oil upgrading,"Pyrolyseöl, roh (1.0 kg)",1.080937167199148,Carbon dioxide,Direct process emission,0.187,kg,1,0.20213525026624066,t CO2/t PP,CO2,2.908,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Pyrolysis-oil upgrading,"Pyrolyseöl, roh (1.0 kg)",1.080937167199148,Strom,External input / cost parameter,0.098,kWh,1,0.10593184238551649,MWh/t PP,Electricity,1.11095,Contribution = process value × effective process scale × allocation factor
